date;level;error
03/11/1992;316.707;0.005
23/11/1992;315.471;0.013
02/03/1993;312.824;0.008
20/04/1993;320.621;0.038
30/04/1993;321.816;0.074
10/05/1993;326.578;0.011
19/06/1993;330.149;0.021
08/08/1993;321.944;0.058
17/08/1993;322.787;0.001
06/09/1993;318.645;0.088
16/09/1993;316.486;0.005
06/10/1993;315.008;0.015
16/10/1993;313.318;0.030
25/11/1993;307.285;0.080
24/12/1993;307.949;0.031
13/01/1994;308.813;0.058
02/02/1994;309.268;0.014
22/02/1994;313.334;0.011
22/04/1994;323.820;0.041
01/06/1994;328.040;0.004
11/06/1994;328.782;0.017
01/07/1994;327.575;0.004
11/07/1994;327.137;0.020
08/09/1994;319.425;0.005
08/10/1994;315.173;0.008
18/10/1994;313.572;0.003
17/11/1994;308.228;0.053
26/12/1994;312.098;0.002
15/01/1995;311.699;0.028
14/02/1995;313.948;0.019
16/03/1995;314.666;0.017
04/04/1995;320.418;0.008
14/04/1995;321.237;0.010
24/04/1995;322.253;0.019
14/05/1995;327.038;0.028
24/05/1995;328.194;0.090
03/06/1995;328.033;0.010
13/06/1995;329.027;0.064
23/06/1995;328.574;0.021
13/07/1995;326.544;0.055
01/08/1995;321.634;0.011
30/10/1995;308.914;0.002
08/12/1995;307.164;0.094
18/12/1995;308.050;0.060
26/02/1996;311.384;0.016
07/03/1996;312.064;0.031
16/03/1996;315.404;0.015
26/03/1996;317.730;0.090
25/04/1996;324.662;0.002
25/05/1996;327.889;0.045
24/06/1996;327.101;0.015
13/07/1996;325.054;0.011
23/07/1996;325.132;0.011
02/08/1996;320.452;0.021
22/08/1996;319.004;0.072
01/09/1996;315.946;0.041
11/09/1996;316.294;0.002
21/10/1996;309.751;0.045
09/11/1996;305.926;0.003
19/11/1996;306.293;0.021
09/12/1996;305.387;0.031
19/12/1996;307.320;0.014
28/01/1997;310.826;0.056
07/04/1997;319.464;0.021
17/04/1997;320.627;0.009
27/04/1997;324.949;0.035
07/05/1997;327.270;0.013
17/05/1997;328.837;0.032
27/05/1997;329.559;0.034
05/07/1997;327.923;0.007
14/08/1997;323.061;0.010
24/08/1997;321.327;0.006
03/09/1997;319.003;0.003
01/11/1997;311.526;0.029
21/12/1997;309.097;0.012
10/01/1998;305.249;0.004
17/07/1998;325.230;0.003
06/08/1998;321.798;0.029
26/08/1998;319.795;0.080
15/09/1998;316.024;0.018
25/09/1998;313.908;0.027
05/10/1998;313.482;0.027
24/10/1998;309.885;0.005
13/11/1998;308.879;0.018
23/11/1998;308.037;0.048
03/12/1998;306.412;0.060
23/12/1998;307.195;0.024
02/01/1999;306.898;0.100
11/04/1999;315.591;0.009
01/05/1999;320.309;0.061
11/05/1999;321.032;0.004
09/06/1999;321.864;0.033
19/06/1999;323.799;0.072
09/07/1999;321.647;0.016
19/07/1999;321.428;0.048
29/07/1999;319.331;0.058
17/09/1999;315.216;0.002
16/10/1999;310.604;0.018
26/10/1999;309.771;0.017
25/11/1999;309.432;0.082
12/02/2000;307.753;0.037
12/04/2000;317.130;0.008
22/04/2000;320.140;0.032
21/05/2000;325.877;0.023
10/06/2000;327.524;0.014
30/06/2000;326.828;0.024
10/07/2000;326.177;0.007
30/07/2000;322.803;0.016
29/08/2000;321.160;0.017
08/09/2000;320.299;0.046
27/09/2000;318.401;0.009
06/11/2000;314.776;0.067
26/11/2000;311.531;0.033
06/12/2000;310.388;0.024
24/01/2001;313.727;0.050
03/02/2001;312.053;0.005
13/02/2001;312.348;0.029
15/03/2001;314.257;0.003
25/03/2001;316.745;0.021
04/04/2001;318.510;0.026
14/04/2001;321.672;0.008
24/04/2001;323.954;0.064
04/05/2001;325.137;0.031
23/05/2001;326.086;0.044
22/06/2001;327.546;0.047
12/07/2001;326.815;0.024
01/08/2001;323.551;0.009
31/08/2001;318.181;0.048
09/09/2001;317.130;0.101
09/10/2001;313.233;0.098
19/10/2001;312.360;0.008
16/01/2002;312.798;0.013
05/02/2002;314.889;0.015
15/02/2002;315.667;0.013
25/02/2002;316.192;0.016
07/03/2002;317.599;0.031
27/03/2002;318.728;0.034
16/04/2002;323.626;0.002
25/04/2002;324.989;0.064
25/05/2002;329.808;0.010
04/06/2002;330.259;0.090
14/06/2002;329.785;0.046
24/06/2002;329.764;0.024
19/07/2002;327.740;0.005
22/07/2002;327.871;0.015
24/07/2002;327.483;0.011
03/08/2002;326.389;0.002
23/08/2002;323.850;0.005
26/08/2002;323.116;0.006
27/09/2002;318.885;0.015
30/09/2002;318.339;0.019
04/11/2002;314.443;0.005
06/12/2002;311.052;0.003
10/01/2003;311.351;0.008
13/01/2003;311.871;0.008
30/05/2003;327.667;0.001
04/07/2003;326.499;0.002
07/07/2003;325.935;0.029
08/08/2003;323.246;0.005
11/08/2003;322.586;0.001
12/09/2003;319.311;0.036
15/09/2003;318.828;0.006
17/10/2003;315.810;0.004
20/10/2003;315.429;0.100
21/11/2003;314.443;0.032
24/11/2003;314.935;0.021
26/12/2003;314.722;0.003
30/01/2004;317.863;0.012
02/02/2004;317.223;0.005
05/03/2004;316.807;0.004
08/03/2004;318.722;0.027
12/04/2004;320.440;0.008
14/05/2004;326.145;0.005
28/05/2004;328.080;0.008
18/06/2004;329.645;0.009
23/07/2004;327.170;0.005
26/07/2004;326.681;0.004
15/08/2004;324.394;0.010
30/08/2004;322.437;0.004
01/10/2004;318.204;0.008
04/10/2004;317.799;0.008
08/11/2004;313.486;0.004
14/01/2005;310.359;0.004
18/02/2005;312.151;0.005
21/02/2005;311.896;0.076
25/03/2005;319.187;0.024
