# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-04-30
#
# GRDC-No.:              2595700
# River:                 TIGRIS RIVER
# Station:               BAGHDAD
# Country:               IQ
# Latitude (DD):       33.3
# Longitude (DD):      44.38
# Catchment area (km²):      134000.0
# Altitude (m ASL):        34.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1906 - 1972
# No. of years:          67
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 799
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1906-06-01;--:--;   2400.000;   -999.000;   0
1906-07-01;--:--;   1170.000;   -999.000;   0
1906-08-01;--:--;    568.000;   -999.000;   0
1906-09-01;--:--;    713.000;   -999.000;   0
1906-10-01;--:--;    755.000;   -999.000;   0
1906-11-01;--:--;    619.000;   -999.000;   0
1906-12-01;--:--;   1310.000;   -999.000;   0
1907-01-01;--:--;   1270.000;   -999.000;   0
1907-02-01;--:--;   1620.000;   -999.000;   0
1907-03-01;--:--;   3200.000;   -999.000;   0
1907-04-01;--:--;   6110.000;   -999.000;   0
1907-05-01;--:--;   5740.000;   -999.000;   0
1907-06-01;--:--;   3960.000;   -999.000;   0
1907-07-01;--:--;   2090.000;   -999.000;   0
1907-08-01;--:--;   1060.000;   -999.000;   0
1907-09-01;--:--;    586.000;   -999.000;   0
1907-10-01;--:--;    517.000;   -999.000;   0
1907-11-01;--:--;   1020.000;   -999.000;   0
1907-12-01;--:--;   1040.000;   -999.000;   0
1908-01-01;--:--;   1020.000;   -999.000;   0
1908-02-01;--:--;   1510.000;   -999.000;   0
1908-03-01;--:--;   2820.000;   -999.000;   0
1908-04-01;--:--;   4400.000;   -999.000;   0
1908-05-01;--:--;   4100.000;   -999.000;   0
1908-06-01;--:--;   2870.000;   -999.000;   0
1908-07-01;--:--;   1370.000;   -999.000;   0
1908-08-01;--:--;    660.000;   -999.000;   0
1908-09-01;--:--;    444.000;   -999.000;   0
1908-10-01;--:--;    397.000;   -999.000;   0
1908-11-01;--:--;    487.000;   -999.000;   0
