# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-04-30
#
# GRDC-No.:              6695600
# River:                 YANARSU CAYI
# Station:               BESIRI
# Country:               TR
# Latitude (DD):       37.916389
# Longitude (DD):      41.293611
# Catchment area (km²):      2450.0
# Altitude (m ASL):        545.0
# Next downstream station:      2595600
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1977-10 - 1987-09
# No. of years:          11
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3652
# DATA
YYYY-MM-DD;hh:mm; Value
1977-10-01;--:--;      3.000
1977-10-02;--:--;      3.000
1977-10-03;--:--;      3.000
1977-10-04;--:--;      3.000
1977-10-05;--:--;      3.000
1977-10-06;--:--;      3.000
1977-10-07;--:--;      4.000
1977-10-08;--:--;      4.000
1977-10-09;--:--;      4.000
1977-10-10;--:--;      4.000
1977-10-11;--:--;      4.000
1977-10-12;--:--;      4.000
1977-10-13;--:--;      4.000
1977-10-14;--:--;      4.000
1977-10-15;--:--;      4.000
1977-10-16;--:--;      4.000
1977-10-17;--:--;      4.000
1977-10-18;--:--;     13.000
1977-10-19;--:--;     17.000
1977-10-20;--:--;     13.000
1977-10-21;--:--;      7.000
1977-10-22;--:--;      7.000
1977-10-23;--:--;      7.000
1977-10-24;--:--;      7.000
1977-10-25;--:--;      7.000
1977-10-26;--:--;      6.000
1977-10-27;--:--;      6.000
1977-10-28;--:--;      6.000
1977-10-29;--:--;      6.000
1977-10-30;--:--;      5.000
1977-10-31;--:--;      5.000
1977-11-01;--:--;      5.000
1977-11-02;--:--;      5.000
1977-11-03;--:--;      5.000
1977-11-04;--:--;      5.000
1977-11-05;--:--;      5.000
1977-11-06;--:--;      5.000
1977-11-07;--:--;      5.000
1977-11-08;--:--;      5.000
1977-11-09;--:--;      5.000
1977-11-10;--:--;      5.000
1977-11-11;--:--;      5.000
1977-11-12;--:--;      7.000
1977-11-13;--:--;      8.000
1977-11-14;--:--;      8.000
1977-11-15;--:--;      8.000
1977-11-16;--:--;      7.000
1977-11-17;--:--;      7.000
1977-11-18;--:--;      7.000
1977-11-19;--:--;      7.000
1977-11-20;--:--;      8.000
1977-11-21;--:--;      8.000
1977-11-22;--:--;      8.000
1977-11-23;--:--;      8.000
1977-11-24;--:--;      7.000
1977-11-25;--:--;      7.000
1977-11-26;--:--;      7.000
1977-11-27;--:--;      7.000
1977-11-28;--:--;      7.000
1977-11-29;--:--;      7.000
1977-11-30;--:--;      6.000
1977-12-01;--:--;      6.000
1977-12-02;--:--;      6.000
1977-12-03;--:--;      7.000
1977-12-04;--:--;     23.000
1977-12-05;--:--;      9.000
1977-12-06;--:--;     86.000
1977-12-07;--:--;     43.000
1977-12-08;--:--;     29.000
1977-12-09;--:--;     23.000
1977-12-10;--:--;     20.000
1977-12-11;--:--;     17.000
1977-12-12;--:--;     16.000
1977-12-13;--:--;     17.000
1977-12-14;--:--;     35.000
1977-12-15;--:--;     31.000
1977-12-16;--:--;     35.000
1977-12-17;--:--;     39.000
1977-12-18;--:--;     36.000
1977-12-19;--:--;     31.000
1977-12-20;--:--;     28.000
1977-12-21;--:--;     25.000
1977-12-22;--:--;     24.000
1977-12-23;--:--;     22.000
1977-12-24;--:--;     21.000
1977-12-25;--:--;     19.000
1977-12-26;--:--;     16.000
1977-12-27;--:--;     16.000
1977-12-28;--:--;     16.000
1977-12-29;--:--;     16.000
1977-12-30;--:--;     15.000
1977-12-31;--:--;     16.000
1978-01-01;--:--;     16.000
1978-01-02;--:--;     22.000
1978-01-03;--:--;     24.000
1978-01-04;--:--;     56.000
1978-01-05;--:--;     48.000
1978-01-06;--:--;     37.000
1978-01-07;--:--;     33.000
1978-01-08;--:--;     26.000
1978-01-09;--:--;     32.000
1978-01-10;--:--;     32.000
1978-01-11;--:--;     28.000
1978-01-12;--:--;     26.000
1978-01-13;--:--;     22.000
1978-01-14;--:--;     21.000
1978-01-15;--:--;     19.000
1978-01-16;--:--;     19.000
1978-01-17;--:--;     19.000
1978-01-18;--:--;     19.000
1978-01-19;--:--;     30.000
1978-01-20;--:--;     87.000
1978-01-21;--:--;    165.000
1978-01-22;--:--;     85.000
1978-01-23;--:--;     69.000
1978-01-24;--:--;     69.000
1978-01-25;--:--;     54.000
1978-01-26;--:--;     45.000
1978-01-27;--:--;     42.000
1978-01-28;--:--;     39.000
1978-01-29;--:--;     36.000
1978-01-30;--:--;     34.000
1978-01-31;--:--;     32.000
1978-02-01;--:--;     30.000
1978-02-02;--:--;     33.000
1978-02-03;--:--;     81.000
1978-02-04;--:--;     60.000
1978-02-05;--:--;     47.000
1978-02-06;--:--;     45.000
1978-02-07;--:--;     98.000
1978-02-08;--:--;    162.000
1978-02-09;--:--;    104.000
1978-02-10;--:--;    133.000
1978-02-11;--:--;     96.000
1978-02-12;--:--;     75.000
1978-02-13;--:--;     57.000
1978-02-14;--:--;     56.000
1978-02-15;--:--;     51.000
1978-02-16;--:--;     63.000
1978-02-17;--:--;    283.000
1978-02-18;--:--;    194.000
1978-02-19;--:--;    128.000
1978-02-20;--:--;    136.000
1978-02-21;--:--;    223.000
1978-02-22;--:--;    424.000
1978-02-23;--:--;    205.000
1978-02-24;--:--;    136.000
1978-02-25;--:--;    110.000
1978-02-26;--:--;     93.000
1978-02-27;--:--;     84.000
1978-02-28;--:--;     76.000
1978-03-01;--:--;     70.000
1978-03-02;--:--;     70.000
1978-03-03;--:--;     71.000
1978-03-04;--:--;     74.000
1978-03-05;--:--;     69.000
1978-03-06;--:--;     76.000
1978-03-07;--:--;     73.000
1978-03-08;--:--;     70.000
1978-03-09;--:--;     70.000
1978-03-10;--:--;     88.000
