year;1;2;3;4;5;6;7;8;9;10;11;12
1931;704.8;442.2;698.9;1423;1049;653.2;288.7;154.6;109.8;103;166.9;348.7
1932;200.4;463.4;796.8;839.3;968.9;520;205.1;120.1;101.2;102.1;149.5;286
1933;181.1;282.4;616.7;846.2;1187;644.3;239.7;138.7;103.2;99.2;163.7;135.8
1934;240.1;424.2;578.5;1062;896.5;582.3;218.6;121.8;100.3;114.4;121.3;341.8
1935;529.6;1204;943.7;1342;996.3;454.8;199;111.7;87.7;107.9;135.5;151.9
1936;268.2;953.8;686.5;1366;1225;578.3;267.7;146.8;105;103.4;283.7;734.7
1937;295.5;664.2;748;1506;930.6;508.3;248.5;130.5;96.8;102;307.7;370.7
1938;778.7;933.1;850.7;2084;1736;787.6;380.8;205.1;159;103.3;379.6;419.9
1939;585.9;640.2;1371;1987;1705;674.1;303.9;193;158;158.7;324.3;310.1
1940;1213;1203;935.3;2153;1452;750.9;350.9;191.2;143.5;162.3;232.1;398.9
1941;879.1;1552;1981;1756;1499;614.3;286;163.1;140.3;299.1;270.3;584.5
1942;629.5;731.2;1594;1849;1663;791.5;349.5;191.1;149.2;152.5;165.2;206.6
1943;1009;811.5;1109;1817;1903;797.1;370.5;204.9;156.8;210.2;1155;995.5
1944;383;533.2;916;1562;1603;583.4;258.5;167.3;152.2;166.6;198.5;251.6
1945;788.9;620.2;740;1197;1108;620.1;256.5;148.9;134;137.5;357.7;210.1
1946;561.9;766.7;1320;1894;2456;1046;457;253.3;201.5;132;163.7;327.6
1947;724;704.3;1096;966.7;702.7;388.8;182.9;119.8;97;371.6;230.7;214
1948;379.8;1008;821.6;2145;2428;1224;457.9;227;158.7;98.5;331.9;372.3
1949;252.2;494;844.7;1901;1795;837.2;350.1;195.5;160;166;174;255.2
1950;379.8;446;1129;1496;1981;778.5;344.3;206.4;153;158.3;170;234.7
1951;593.5;488.1;739.6;1082;996.5;500.7;237;153.5;142;197.5;185.8;239.2
1952;377.3;1680;1342;1937;1718;754.1;340.2;193;148.2;256.9;307.8;359.2
1953;404.4;1040;1638;2278;1722;907.6;422.1;234.9;169.3;142.8;161.7;248.4
1954;726.4;1114;2309;3514;2458;1235;511;267.9;205.5;177.1;297.8;308.3
1955;442.6;458;691.9;957.3;1035;347.1;188.3;148.8;120;203.5;267.8;421
1956;553.6;1060;1312;1593;1406;909.1;371.1;178.8;162;135.7;172.2;648.1
1957;297.9;651;1825;1086;2262;986.1;438.7;260.4;217.8;178.8;218.8;285.1
1958;592.9;613.4;1157;1430;1063;641.7;308.2;181.1;152.7;205.1;262.7;347.7
1959;466.4;330.5;781.9;1557;1243;574.6;240.2;156.1;135.3;149.6;168.3;345
1960;512.1;500.7;942.8;1772;1391;459.8;197;128.9;111.5;162.3;185.1;185.9
1961;300.4;370.6;455.4;1022;1069;392.4;175.2;108.3;98.1;107.1;160.3;191.8
1962;445.3;835.5;1246;1270;1101;484.4;211.1;129.9;114.3;116.9;270.2;711
1963;1038;1273;1170;3385;3350;1687;655.4;330.1;247.5;149.6;177;718.8
1964;338.2;760.6;2173;1692;1428;791.5;315.5;203.2;164.9;392.3;443.7;430.6
1965;306.5;739.8;1094;1641;1379;686.3;258;130.2;116.7;173.3;332.5;291.8
1966;1359;1328;950.7;1635;1348;663.2;296.7;152.3;131.6;374.5;360.3;675.8
1967;658.6;706.5;1592;2439;3273;1132;417.1;206;181;224.9;243.2;481.4
