"",,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Iraq","Total area of the country (excl. coastal waters) (1000 ha)",1987,43832.0,"E",,1992,43832.0,"E",,1997,43832.0,"E",,2002,43832.0,"E",,2007,43832.0,"E",,2012,43524.0,"E",,2016,43505.0,"E",
"Iraq","Arable land area (1000 ha)",1987,5250.0,"E",,1992,5300.0,"E",,1997,4400.0,"E",,2002,4650.0,"E",,2007,4950.0,"E",,2012,4318.0,"E",,2016,5000.0,"E",
"Iraq","Permanent crops area (1000 ha)",1987,230.0,"E",,1992,250.0,"E",,1997,260.0,"E",,2002,190.0,"E",,2007,190.0,"E",,2012,250.0,"E",,2016,300.0,"E",
"Iraq","Cultivated area (arable land + permanent crops) (1000 ha)",1987,5480.0,"E",,1992,5550.0,"E",,1997,4660.0,"E",,2002,4840.0,"E",,2007,5140.0,"E",,2012,4568.0,"E",,2016,5300.0,"E",
"Iraq","% of total country area cultivated (%)",1987,12.5,"E",,1992,12.66,"E",,1997,10.63,"E",,2002,11.04,"E",,2007,11.73,"E",,2012,10.5,"E",,2016,12.18,"E",
"Iraq","Total population (1000 inhab)",1987,16290.0,"E",,1992,18458.0,"E",,1997,21509.0,"E",,2002,24939.0,"E",,2007,28390.0,"E",,2012,32777.0,"E",,2017,38275.0,"E",
"Iraq","Rural population (1000 inhab)",1987,4876.0,"E",,1992,5598.0,"E",,1997,6669.0,"E",,2002,7625.0,"E",,2007,8595.0,"E",,2012,10103.0,"E",,2017,11969.0,"E",
"Iraq","Urban population (1000 inhab)",1987,11414.0,"E",,1992,12860.0,"E",,1997,14840.0,"E",,2002,17314.0,"E",,2007,19795.0,"E",,2012,22674.0,"E",,2017,26306.0,"E",
"Iraq","Population density (inhab/km2)",1987,37.16,"E",,1992,42.11,"E",,1997,49.07,"E",,2002,56.9,"E",,2007,64.77,"E",,2012,75.31,"E",,2017,87.98,"E",
"Iraq","Gross Domestic Product (GDP) (current US$)",1987,5.6609842393E10,"E",,1990,1.8E11,"E",,1997,1.0113863358E10,"E",,2002,1.8969591211E10,"E",,2007,8.8840050497E10,"E",,2012,2.18E11,"E",,2015,1.69E11,"E",
"Iraq","GDP per capita (current US$/inhab)",1987,3475.0,"E",,1990,9752.0,"E",,1997,470.2,"E",,2002,760.6,"E",,2007,3129.0,"E",,2012,6651.0,"E",,2015,4415.0,"E",
"Iraq","Agriculture, value added (% GDP) (%)",,,"",,,,"",,1997,8.847,"E",,2002,8.997,"E",,2003,8.572,"E",,,,"",,,,"",
"Iraq","Human Development Index (HDI) [highest = 1] (-)",,,"",,1990,0.5722,"E",,,,"",,2000,0.6064,"E",,,,"",,2012,0.6537,"E",,2014,0.6539,"E",
"Iraq","Gender Inequality Index (GII) [equality = 0; inequality = 1) (-)",,,"",,,,"",,,,"",,,,"",,2005,0.797,"E",,2010,0.548,"E",,2014,0.5388,"E",
"Iraq","Prevalence of undernourishment (3-year average) (%)",,,"",,1992,7.9,"E",,1997,22.6,"E",,2002,23.5,"E",,2007,26.0,"E",,2012,24.5,"E",,2016,22.8,"E",
"Iraq","Number of people undernourished (3-year average) (1000 inhab)",,,"",,1992,1400.0,"E",,1997,4800.0,"E",,2002,5800.0,"E",,2007,7300.0,"E",,2012,7800.0,"E",,2016,8100.0,"E",
"Iraq","Long-term average annual precipitation in depth (mm/year)",1987,216.0,"",,1992,216.0,"",,1997,216.0,"",,2002,216.0,"",,2007,216.0,"",,2012,216.0,"",,2017,216.0,"",
"Iraq","Long-term average annual precipitation in volume (10^9 m3/year)",1987,94.68,"K",,1992,94.68,"K",,1997,94.68,"K",,2002,94.68,"K",,2007,94.68,"K",,2012,94.01,"K",,2017,93.97,"K",
"Iraq","Surface water produced internally (10^9 m3/year)",1987,34.0,"",,1992,34.0,"",,1997,34.0,"",,2002,34.0,"",,2007,34.0,"",,2012,34.0,"",,2017,34.0,"",
"Iraq","Groundwater produced internally (10^9 m3/year)",1987,3.2,"",,1992,3.2,"",,1997,3.2,"",,2002,3.2,"",,2007,3.2,"",,2012,3.2,"",,2017,3.2,"",
"Iraq","Overlap between surface water and groundwater (10^9 m3/year)",1987,2.0,"",,1992,2.0,"",,1997,2.0,"",,2002,2.0,"",,2007,2.0,"",,2012,2.0,"",,2017,2.0,"",
"Iraq","Total internal renewable water resources (IRWR) (10^9 m3/year)",1987,35.2,"",,1992,35.2,"",,1997,35.2,"",,2002,35.2,"",,2007,35.2,"",,2012,35.2,"",,2017,35.2,"",
"Iraq","Total internal renewable water resources per capita (m3/inhab/year)",1987,2161.0,"K",,1992,1907.0,"K",,1997,1637.0,"K",,2002,1411.0,"K",,2007,1240.0,"K",,2012,1074.0,"K",,2017,919.7,"K",
"Iraq","Surface water: entering the country (total) (10^9 m3/year)",1987,61.33,"","[1]",1992,61.33,"","[2]",1997,61.33,"","[3]",2002,61.33,"","[4]",2007,61.33,"","[5]",2012,61.33,"","[6]",2017,61.33,"",
"Iraq","Surface water: inflow not submitted to treaties (10^9 m3/year)",1987,45.58,"I",,1992,45.58,"I",,1997,45.58,"I",,2002,45.58,"I",,2007,45.58,"I",,2012,45.58,"I",,2017,45.58,"I",
"Iraq","Surface water: inflow submitted to treaties (10^9 m3/year)",1987,15.75,"I","[7]",1992,15.75,"I","[8]",1997,15.75,"I","[9]",2002,15.75,"I","[10]",2007,15.75,"I","[11]",2012,15.75,"I","[12]",2017,15.75,"I",
"Iraq","Surface water: inflow secured through treaties (10^9 m3/year)",1987,9.0,"",,1992,9.0,"",,1997,9.0,"",,2002,9.0,"",,2007,9.0,"",,2012,9.0,"",,2017,9.0,"",
"Iraq","Surface water: total flow of border rivers (10^9 m3/year)",1987,0.0,"I",,1992,0.0,"I",,1997,0.0,"I",,2002,0.0,"I",,2007,0.0,"I",,2012,0.0,"I",,2017,0.0,"I",
"Iraq","Surface water: accounted flow of border rivers (10^9 m3/year)",1987,0.0,"","[13]",1992,0.0,"","[14]",1997,0.0,"","[15]",2002,0.0,"","[16]",2007,0.0,"","[17]",2012,0.0,"","[18]",2017,0.0,"",
"Iraq","Surface water: accounted inflow (10^9 m3/year)",1987,54.58,"I",,1992,54.58,"I",,1997,54.58,"I",,2002,54.58,"I",,2007,54.58,"I",,2012,54.58,"I",,2017,54.58,"I",
"Iraq","Surface water: leaving the country to other countries (total) (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
